# "num"	"U-TEXAS-LARG"	"CLUNEPLAYER"	"JIGSAWBOT"	"FLUXPLAYER"	"LUCKY-LEMMING"	"W-WOLFE"	"CADIA-PLAYER"	"ARY"
1	1011,11	1011,11	1011,11	1011,11	1011,11	1011,11	1011,11	1011,11
2	1044,44	1044,44	944,44	1044,44	1044,44	944,44	1044,44	1044,44
3	1032,07	1032,07	932,07	1131,07	1032,07	932,07	1032,07	1032,07
4	970,81	1023,44	936,45	1235,45	1036,45	936,45	1036,45	1023,44
5	977,94	1039,71	944,14	1238,27	1022,51	924,14	1002,51	1049,71
6	1067,06	1081,38	844,13	1216,06	1027,85	831,5	1084,66	1046,29
7	1080,97	1076,01	851,11	1209,09	1036,55	817,59	1075,95	1051,67
8	1052,89	1097,34	871,1	1236,22	1017,41	820,73	1031,83	1079,66
9	1040,39	1122,34	871,1	1236,22	1017,41	820,73	1031,83	1092,16
10	1109,14	1191,09	839,85	1254,97	1051,78	689,48	1100,58	1060,91
11	1209,14	1291,09	929,85	1354,97	1051,78	716,48	1166,58	1160,91
12	1260,03	1283,93	962,43	1352,33	1061,83	665,36	1120,71	1170,09
13	1260,62	1283,93	959,41	1361,53	1065,18	669,36	1111,54	1164,29
14	1210,3	1236,91	965,28	1383,54	1065,18	634,67	1170,54	1224,74
15	1247,8	1274,41	1002,78	1421,04	1102,68	472,17	1108,04	1262,24
16	1285,3	1311,91	940,28	1458,54	1140,18	409,67	1145,54	1199,74
17	1304,05	1330,66	959,03	1477,29	1108,93	378,42	1139,29	1193,49
18	1324,88	1351,49	929,87	1498,13	1079,77	378,42	1139,29	1189,33
19	1452,65	1278,56	969,81	1499,04	1055,03	376,11	1033,5	1237,07
20	1475,97	1278,56	950,67	1498,99	1041,48	375,53	1035,6	1246,45
21	1482,2	1227,83	898,13	1580,96	970,92	338,35	1097,57	1359,8
22	1602,54	1137,17	892,21	1583,7	869,82	338,35	1179,52	1451,49
23	1641,35	1186,06	946,4	1524,91	826,49	306,53	1227,49	1395,57
24	1603,85	1246,56	914,9	1585,41	788,99	269,03	1287,99	1358,07
25	1586,5	1287,23	923,37	1585,41	778,53	262,96	1287,99	1342,8
26	1525,4	1327,26	864,79	1624,31	720,5	306,9	1328,02	1357,62
27	1484,3	1389,42	878,56	1592,59	714,64	285,84	1390,17	1319,29
28	1538,93	1444,05	861,18	1547,22	683,26	240,46	1444,8	1294,91
29	1538,93	1444,05	890,94	1547,22	722,31	202,62	1444,8	1277,02
30	1446,88	1508,53	970,15	1553,95	752	146,15	1432,26	1257,95
31	1434,94	1531,14	982,73	1541,22	745,2	143,82	1420,43	1268,41
32	1392,14	1498,63	955,58	1564,94	737,61	82,61	1497,04	1339,32
33	1302,45	1470,51	1010,91	1463,32	765,1	1,73	1599,68	1454,19
34	1300,34	1465,39	1012,33	1407,42	770,64	19,07	1641,84	1450,86
35	1217,64	1570,81	1068,63	1285,79	890,65	-59,68	1736,81	1357,23
36	1226,72	1651,71	1004,56	1287,4	945,17	-103,95	1698,59	1361,61
37	1312,72	1668,31	914,6	1343,43	869,81	-144,3	1698,59	1441,18
38	1235,55	1768,36	828,05	1429,4	845,22	-136,96	1804,35	1363,44
39	1132,74	1667,57	862,71	1442,21	832,41	-136,96	1905,14	1466,24
40	1132,74	1651,01	844,4	1454,84	848,97	-149,59	1905,14	1484,55
41	1234,53	1634,74	787,96	1422,82	729,56	-80,26	1996,8	1455,85
42	1170,91	1575,27	719,84	1489,73	662,65	-20,79	2060,42	1523,97
43	1175,11	1575,27	719,84	1474,71	662,65	-24,98	2060,42	1538,99
