# num	U-TEXAS-LARG	CLUNEPLAYER	JIGSAWBOT	FLUXPLAYER	LUCKY-LEMMING	W-WOLFE	CADIA-PLAYER	ARY
1	25	25	25	25	25	25	25	25
2	50	50	25	50	50	25	50	50
3	50	50	25	74,75	50	25	50	50
4	50	75	50	124,75	75	50	75	75
5	67,5	95	67,5	142,25	87,5	62,5	82,5	97,5
6	117,5	120	67,5	167,25	112,5	62,5	132,5	122,5
7	155	145	80	204,75	137,5	75	157,5	147,5
8	180	195	117,5	254,75	150	100	157,5	185
9	192,5	213,75	142,5	279,75	150	100	157,5	203,75
10	242,5	263,75	167,5	317,25	175	100	207,5	228,75
11	267,5	288,75	190	342,25	175	106,75	224	253,75
12	305	313,75	227,5	367,25	200	119,25	236,5	278,75
13	332	363,75	259	413	203	120,25	263,5	322,25
14	344,5	376,25	271,5	450,5	203	132,75	301	359,75
15	444,5	476,25	371,5	550,5	303	132,75	351	459,75
16	494,5	526,25	371,5	600,5	353	132,75	401	459,75
17	519,5	551,25	396,5	625,5	353	132,75	413,5	472,25
18	557	588,75	409	663	365,5	132,75	413,5	497,25
19	657	588,75	509	688	415,5	132,75	413,5	572,25
20	669,5	638,75	509	725,5	428	132,75	451	622,25
21	719,5	638,75	509	800,5	428	132,75	551	722,25
22	819,5	638,75	534	875,5	428	132,75	651	822,25
23	869,5	688,75	584	876,5	429	133,75	701	823,25
24	870,5	738,75	588	926,5	430	134,75	751	824,25
25	873	768,75	600,5	926,5	432,5	137,25	751	826,75
26	873	818,75	600,5	976,5	432,5	187,25	801	864,25
27	873	868,75	622,5	982	443,5	187,25	851	864,25
28	923	918,75	636,5	982	450,5	187,25	901	874,75
29	973	968,75	686,5	1032	500,5	187,25	951	912,25
30	973	1045,75	763,5	1081,5	550,5	187,25	989,5	945,25
31	973	1063,25	774	1081,5	550,5	187,25	989,5	955,75
32	998	1088,25	824	1181,5	600,5	187,25	1064,5	1030,75
33	998	1138,25	924	1181,5	650,5	187,25	1164,5	1130,75
34	1048	1188,25	974	1206,5	700,5	237,25	1239,5	1180,75
35	1048	1288,25	1074	1206,5	800,5	237,25	1339,5	1180,75
36	1098	1388,25	1074	1256,5	850,5	237,25	1389,5	1280,75
37	1198	1438,25	1074	1306,5	850,5	237,25	1489,5	1380,75
38	1198	1538,25	1074	1406,5	900,5	287,25	1589,5	1380,75
39	1198	1538,25	1149	1456,5	950,5	287,25	1689,5	1480,75
40	1198	1538,25	1149	1506,5	1000,5	287,25	1739,5	1530,75
41	1398	1638,25	1149	1606,5	1000,5	487,25	1939,5	1630,75
42	1398	1738,25	1149	1806,5	1000,5	587,25	2139,5	1830,75
43	1498	1738,25	1249	1806,5	1000,5	587,25	2239,5	1930,75
