# num	U-TEXAS-LARG	CLUNEPLAYER	JIGSAWBOT	FLUXPLAYER	LUCKY-LEMMING	W-WOLFE	CADIA-PLAYER	ARY
1	1032,78	1032,78	1032,78	1032,78	1032,78	1032,78	1032,78	1032,78
2	1129,44	1129,44	839,44	1129,44	1129,44	839,44	1129,44	1129,44
3	1094,18	1094,18	804,18	1376,33	1094,18	804,18	1094,18	1094,18
4	920,77	1070,31	816,6	1668,75	1106,6	816,6	1106,6	1070,31
5	940,38	1115,02	837,88	1676,37	1068,23	782,88	1013,23	1142,52
6	1178,59	1231,79	568,73	1614,35	1082,88	534,85	1231,84	1133,51
7	1217,49	1217,5	588,26	1594,83	1104,54	495,94	1210,18	1147,8
8	1144,89	1273,2	639,84	1665,7	1054,95	506,28	1095,57	1218,7
9	1113,01	1336,95	639,84	1665,7	1054,95	506,28	1095,57	1250,58
10	1284,89	1508,82	561,72	1712,58	1140,89	178,16	1267,44	1172,45
11	1333,89	1557,82	586,22	1761,58	1140,89	48,31	1233,14	1221,45
12	1454,21	1546,74	663,22	1749,08	1163,22	-70,02	1121,83	1240,29
13	1427,02	1546,74	653,02	1805,68	1127,48	-60,62	1132,68	1222,84
14	1313,1	1438,16	667,5	1850,95	1127,48	-134,6	1266,22	1363,49
15	1355,6	1454,68	844,12	1850,95	1208,54	-241,35	1093,46	1395,52
16	1412,12	1500,27	737,09	1852,8	1281,29	-241,35	1178,91	1227,63
17	1439,93	1524,32	793,65	1861,84	1207,17	-250,61	1162,9	1209,55
18	1483,68	1568,07	732,4	1905,59	1145,92	-250,61	1162,9	1200,8
19	1718,38	1398,82	928,94	1852,79	1195,75	-345,14	987,66	1339,11
20	1764,91	1398,82	888,53	1850,54	1171,9	-348,52	999,53	1356,85
21	1684,7	1366,09	851,72	1979,77	1039,45	-376,55	1061,95	1560,96
22	1738,36	1232,25	919,61	1948,08	812,01	-376,55	1208,57	1755,66
23	1815,85	1321,15	1015,57	1839,54	729,09	-432,67	1298,01	1651,46
24	1719,03	1422,67	965,04	1918,07	680,47	-429,77	1400,56	1561,93
25	1687,59	1491,35	978,44	1918,07	662,59	-433,16	1400,56	1532,54
26	1585,71	1559,82	877,82	1985,78	562,52	-361,3	1469,19	1558,44
27	1518,72	1658,42	899,62	1927,78	555,24	-383,73	1569,86	1492,07
28	1588,94	1722,04	883,87	1818,69	533,34	-383,73	1637,66	1437,14
29	1589,01	1722,04	923,15	1818,69	592,13	-428,94	1637,66	1406,91
30	1449,38	1807,95	1041,92	1818,12	643,51	-485,56	1611,54	1373,78
31	1432,91	1839,12	1059,41	1798,46	634	-485,56	1593,66	1388,4
32	1376,75	1794,02	1023,91	1819,62	631,28	-568,34	1707,48	1475,68
33	1262,9	1750,61	1077,34	1682,2	677,12	-662,67	1838,24	1634,66
34	1262,08	1743,83	1077,79	1610,6	682,58	-642,06	1894,97	1630,62
35	1166,22	1875,74	1127,68	1455,01	837,73	-729,6	2007,69	1519,93
36	1184,01	1975,66	1051,92	1447,97	897,33	-779,67	1966,71	1522,72
37	1292,57	1949,06	943,46	1473,24	813	-782,92	1971,15	1606,92
38	1208,43	2056,71	846,12	1573,12	785,94	-777,68	2089,35	1520,78
39	1115,73	1959,65	886,29	1541,12	814,95	-777,68	2199,77	1613,87
40	1115,73	1951,6	869,68	1548,13	823	-784,69	2199,77	1630,48
41	1210,5	1939,67	828,59	1515,44	710,58	-732,96	2291,28	1600
42	1147,56	1894,27	757,9	1585,29	640,72	-687,56	2354,22	1670,69
43	1149,52	1894,27	761,32	1567,99	637,31	-689,52	2354,22	1688
